"","Vars","CBG","CT","C"
"MEDFI","MEDFI",-0.26769450683527,-0.297103734330462,-0.23283072978316
"INCDIS","INCDIS",0.166283203533297,0.241512029318546,0.309829120136899
"BELPL","BELPL",0.0772436593720317,0.0105710452179979,0.027584993191674
"PL150","PL150",0.22978447662368,0.28587846167792,0.193679173580199
"EDU9YR","EDU9YR",0.0734362098226386,0.0617313282977613,0.040670480199575
"HSDPNHIGH","HSDPNHIGH",-0.106487231669774,-0.041439184126505,-0.121270845014799
"EMPWC","EMPWC",-0.107116785872266,-0.135968779003528,-0.0743495556018502
"UNEMP","UNEMP",0.0255295746400283,0.011780084048273,-0.0291953976565401
"MEDHV","MEDHV",-0.0284581733587179,-0.038343072322958,-0.0964366658028998
"MEDRNT","MEDRNT",-0.0371798966171543,0.00227643807903244,-0.0182525125962645
"MEDMORT","MEDMORT",-0.0104125110266063,0.0604702141453481,0.0223791525720533
"OWN","OWN",0.0129501927145929,0.0631835508105751,0.0388739278888569
"SNGPNT","SNGPNT",0.0587797566980091,0.0829491244683879,0.0788735064415587
"NOVEH","NOVEH",0.0120437097355621,-0.00295692978148994,-0.0294437003181561
"NOINT","NOINT",0.0243291169183924,0.0261339766460163,0.0240023982934129
"NOPLUM","NOPLUM",0.0129884320558174,0.0111678499486142,0.0125014171295648
"CROWD","CROWD",0.029207708076394,0.0148080389270423,0.0513687358836667
