"","Vars","CBG","CT","C"
"MEDFI","MEDFI",-0.86281989076437,-0.894101208521627,-0.946698103935561
"INCDIS","INCDIS",0.798352124438515,0.869088316809381,0.923062675086313
"BELPL","BELPL",0.712859358694545,0.780903082993575,0.810189385032788
"PL150","PL150",0.793639359814937,0.855659676355844,0.864829011842179
"EDU9YR","EDU9YR",0.578684371723657,0.644622543295089,0.671161798718017
"HSDPNHIGH","HSDPNHIGH",-0.757309190541306,-0.778116256592204,-0.736786544632868
"EMPWC","EMPWC",-0.690714954257675,-0.767985322159826,-0.670424867361187
"UNEMP","UNEMP",0.30920491798939,0.421142735626666,0.477163893165834
"MEDHV","MEDHV",-0.587865365379518,-0.592551604503513,-0.726512355857741
"MEDRNT","MEDRNT",-0.627907231532396,-0.662870547471716,-0.763954343492029
"MEDMORT","MEDMORT",-0.645636174345007,-0.662168487827473,-0.786934946488538
"OWN","OWN",-0.406288783511001,-0.403001810788981,-0.0282926385875479
"SNGPNT","SNGPNT",0.359300777830446,0.464150460385366,0.356293756622653
"NOVEH","NOVEH",0.316746737156281,0.336885105738897,0.287209790103545
"NOINT","NOINT",0.566518882057762,0.666949789513919,0.780609883454707
"NOPLUM","NOPLUM",0.180045869441697,0.212387685575736,0.237678352250149
"CROWD","CROWD",0.232569853009519,0.277638673586559,0.102337172276348
